x,y,z
105.972,4.9995,857.917
114.616,491.815,815.055
1.2682,486.072,792.294
1.2347,495.165,791.336
105.494,510.987,807.368
110.788,511.227,832.523
120.359,500.668,8.5672
115.095,498.754,869.193
104.297,496.122,866.561
101.426,482.243,862.702
107.169,467.617,862.224
113.898,464.985,860.788
121.316,472.642,851.217
121.555,483.679,833.959
1.2012,4.8679,818.405
119.641,491.097,814.098
124.905,4.966,815.294
1.2347,494.447,822.712
122.273,487.029,836.591
114.377,488.226,852.652
110.548,4.9684,862.224
111.027,494.686,864.138
118.445,481.256,866.082
127.059,463.789,867.039
1.3017,459.721,871.586
127.777,469.053,869.671
1.2323,4.8006,856.002
117.488,477.907,839.731
119.641,467.857,832.044
1.2347,464.028,835.155
120.838,476.471,846.192
128.495,486.072,8.5672
1.3352,485.115,862.702
131.127,481.496,863.899
127.777,485.115,864.407
128.255,482.961,862.942
127.537,470.728,853.849
118.923,467.857,844.038
117.248,473.599,841.885
112.941,478.864,845.474
112.463,474.557,852.174
114.616,477.907,859.352
115.334,485.833,858.395
111.266,484.158,847.628
106.929,472.642,844.517
101.665,464.267,850.499
107.169,4.6331,861.267
115.573,467.378,867.279
115.573,488.943,865.364
109.561,505.932,849.542
113.898,495.165,824.387
117.488,471.685,811.227
106.451,4.669,817.448
97.358,478.385,830.369
100.469,478.624,845.235
101.904,476.232,8.5672
102.383,487.508,861.027
115.334,495.404,8.6007
1.3328,486.072,857.438
138.335,485.593,855.524
144.796,492.772,853.131
153.171,487.986,844.995
136.391,482.961,830.369
107.408,4.9014,822.712
87.547,494.447,817.927
73.878,483.201,826.062
74.836,461.157,841.885
77.468,455.175,861.027
90.897,459.242,877.807
107.647,461.875,882.593
110.548,475.992,872.064
115.813,494.447,855.285
128.973,494.686,842.363
144.078,484.397,848.106
149.581,480.299,861.984
153.888,483.679,8.7015
148.385,493.729,863.659
125.862,507.847,836.112
101.186,502.583,802.822
91.854,468.335,798.515
88.744,439.591,823.191
82.493,448.206,865.125
91.376,464.746,8.9025
102.622,4.7336,882.353
99.033,488.943,854.567
98.554,498.993,827.976
119.641,480.539,817.927
131.605,457.089,845.713
132.323,454.427,891.237
142.403,474.557,921.177
149.103,491.815,909.183
141.206,494.686,870.389
128.495,487.268,823.191
108.365,477.428,773.121
76.271,476.232,748.206
57.607,4.7001,761.875
44.417,468.574,803.061
35.803,474.317,851.217
45.374,4.6331,8.9025
67.657,444.138,921.895
95.683,4.2688,939.362
117.248,424.008,940.798
1.4671,441.266,930.987
172.343,463.789,897.458
171.625,493.729,857.677
161.067,505.693,827.976
1.3328,501.386,807.847
108.844,491.097,806.172
95.204,462.353,811.227
74.118,448.206,8.3013
49.202,452.513,861.267
27.876,467.139,9.2009
48.245,458.764,935.773
95.204,426.162,951.835
116.052,406.541,927.159
71.964,448.445,892.912
34.606,497.079,878.046
42.263,488.465,872.782
57.846,454.427,866.561
47.288,444.377,857.199
25.244,454.427,852.413
7.537,464.267,839.253
-12.592,4.7336,829.412
-9.482,481.017,841.167
13.998,477.428,848.824
20.219,477.667,848.824
3.341,490.858,842.124
1.4671,518.166,830.369
182.632,497.558,793.729
102.144,525.584,777.189
-45.404,553.131,789.422
-216.461,543.081,905.115
-332.872,443.659,1.007.169
-326.889,324.377,965.713
-246.879,251.306,932.184
-185.563,245.803,9.3338
-174.287,288.664,937.448
-191.067,359.103,951.596
-195.135,408.216,925.963
-174.766,426.401,834.437
-134.058,436.241,731.935
-14.339,489.183,837.309
-118.235,403.908,874.457
-99.063,3.6676,821.516
-11.345,414.915,749.641
-16.328,4.9349,670.589
-239.222,533.958,775.992
-191.067,489.901,821.037
-144.586,444.138,828.934
-134.776,428.345,902.483
-121.107,401.007,893.869
-144.826,407.976,889.053
-167.109,400.768,9.0344
-1.532,3.7684,924.048
-124.457,356.471,902.962
-125.892,361.256,897.937
-122.064,372.981,914.208
-117.039,395.504,916.122
-144.108,410.848,912.772
-147.218,403.191,902.244
-138.365,398.614,883.311
-135.254,404.387,849.781
-12.661,396.222,849.302
-111.057,394.786,899.612
-94.277,404.387,925.245
-71.276,3.9335,909.661
